"cluster","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"3","Frem1",8.94259275773654e-21,2.66712368303354,0.152,0.041,1.82142729289578e-16
"3","Lypd6",4.489137603265e-87,2.63626752570078,0.555,0.16,9.14347547033015e-83
"3","Slc39a8",4.47366333921621e-30,2.58672263233565,0.17,0.036,9.11195748931558e-26
"3","Il13ra1",2.18690130349938e-36,2.58155613485791,0.229,0.054,4.45428057496754e-32
"3","Pou3f2",1.71875045453531e-138,2.55094287583304,0.641,0.128,3.50075092579751e-134
"3","Itga4",1.52556073921347e-29,2.50199386517173,0.201,0.052,3.10726211362999e-25
"3","Lhx2",2.60386107257924e-80,2.49024068374605,0.462,0.111,5.3035442326294e-76
"3","Sncaip",1.18990630855635e-85,2.41559561261136,0.666,0.255,2.42360116926757e-81
"3","Gpc3",1.35664019574421e-90,2.39320741935387,0.641,0.209,2.76320475069181e-86
"3","Myom3",2.87382762077159e-30,2.35147885338609,0.184,0.042,5.85341209798758e-26
"3","Fam20a",1.25976933378177e-20,2.30700255961695,0.174,0.053,2.56589817904671e-16
"3","Crhr1",3.33544367052295e-25,2.17142087899601,0.187,0.05,6.79363166812115e-21
"3","Adra1b",2.03776331099391e-31,2.14863696394836,0.219,0.056,4.15051631183239e-27
"3","Itga11",4.01814541629911e-18,2.01384881761962,0.167,0.053,8.18415858391803e-14
"3","Has3",2.50916786080001e-26,2.01166823858865,0.204,0.057,5.11067309887746e-22
"3","Vav2",2.20081338097513e-29,1.95784054147672,0.371,0.159,4.48261669437014e-25
"4","Oxt",1.31432161386038e-52,7.03920937060959,0.15,0.011,2.67701026311082e-48
"4","Avp",6.19459799724128e-67,6.27348859806555,0.19,0.014,1.2617157200781e-62
"4","Nid1",9.8403008782599e-70,4.41054771426266,0.193,0.013,2.00427248288398e-65
"4","Rufy4",1.82591930259367e-77,3.78555055173926,0.26,0.024,3.71903243552279e-73
"4","Foxp2",5.34841580468268e-31,3.61358849900545,0.443,0.207,1.08936533109777e-26
"4","Susd1",1.56364125685893e-70,3.59440906438725,0.293,0.038,3.18482451197027e-66
"4","Ebf3",3.88762326924076e-44,3.12513731312312,0.29,0.063,7.91831107478957e-40
"4","Tbc1d8b",1.43925975338099e-54,2.91397877641286,0.413,0.108,2.93148426568641e-50
"4","Sst",2.32550855380183e-20,2.88892829158456,0.193,0.057,4.73659582238356e-16
"4","Nr4a3",4.18644715056091e-15,2.86502857294892,0.187,0.065,8.52695555626246e-11
"4","Fign",1.26637104433661e-30,2.65047165584904,0.557,0.316,2.5793445431048e-26
"4","Tent5a",5.03094285883868e-31,2.64477189595646,0.193,0.038,1.02470244148826e-26
"4","Hmcn1",4.02808711888781e-38,2.57228914215494,0.283,0.067,8.20440784375069e-34
"4","Caprin2",1.74684632578925e-25,2.56165218554698,0.603,0.401,3.55797659636754e-21
"4","Ly75",1.59438845855026e-24,2.53534018626305,0.3,0.107,3.24745041237518e-20
"4","Ell2",1.3941222912408e-40,2.50927788967685,0.373,0.11,2.83954828279926e-36
"4","Pde8a",3.08937713932155e-10,2.43582949725655,0.28,0.156,6.29244335737014e-06
"4","Tns1",1.23285340844241e-37,2.41560094198895,0.343,0.1,2.5110758223155e-33
